| #                              | KPI                                                           | Why it matters (strategic lens)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  | How to calculate it (analytic lens)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             |
| 11                             | Landlord Response Rate & Median Response Time                 | How quickly and often landlords reply to messages.<br>Fast replies drive trust and conversion; also a leading indicator of drop-off.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             | Rate: Messages answered within 24 h ÷ Total messages from new tenants. Time: median minutes to first reply.<br><br>Examples:<br>Response Rate: 90% of messages get a reply = good.<br>Response Time: Median reply takes 6 hours = decent; faster is better.                                                                                                                                                                                                                                                                                                                                                                                                                                                                     |
| 12                             | Payment Collection Success Rate                               | Out of all payment attempts, how many go through successfully.<br>Demonstrates reliability of HousingAnywhere “secure fees collection” promise. <br>Failed payments = lost money and unhappy users.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              | Successfully processed rental payments ÷ Attempted payments in the period. We should exclude fraudulent or reversed.<br>Example: If 1,000 tenants try to pay rent and 980 succeed → Success Rate = 98%.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         |
| 13                             | Dispute / Chargeback Rate                                     | The number of payment issues or complaints.<br>Direct cost & reputational risk metric; high values flag policy or fraud gaps.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    | Disputed or charged-back transactions ÷ Total transactions.<br>Example: 5 chargebacks out of 1,000 transactions = 0.5%                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          |
| Partner & Channel Performance  |                                                               |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 |
| 14                             | Partner (University, Companies, Relocation Agencies) Activation Rate Rate                            | Shows out of all students invited by a partner school, how many actually used the platform and also how deeply a school has adopted the platform after signing.<br>This KPI tells if the partnership is working.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 | Students with at least one booking from a partner university ÷ Students invited via that university link.<br>Example: 1,000 students received the school link, and 300 booked → Activation Rate = 30%.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          |
| 15                             | Affiliate Booking Commission Payouts                          | How much money HousingAnywhere is paying to partners (like relocation agencies) for referring bookings.<br>Shows how effective the affiliate program is and helps with budgeting.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                | Sum of commission amounts owed on bookings attributed to affiliate tracking codes in the period.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                |
| Satisfaction & Quality         |                                                               |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 |
| 16                             | Tenant Net Promoter Score (tNPS) / Landlord NPS (lNPS)        | A measure of user satisfaction and loyalty.<br>High NPS = happy users who promote your platform.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 | Standard NPS survey: %Promoters (9–10) – %Detractors (0–6) on the 0-10 scale, asked post-move-in or after payout.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               |
| 17                             | Verified-Listing Ratio                                        | Percentage of listings that have been verified (e.g., landlord ID checked).<br>Increases trust and safety, especially for students and international renters.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    | Verified listings ÷ Total active listings.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      |
| 18                             | On-Time Payout Rate                                           | How often landlords get paid on time.<br>Critical for landlord satisfaction; If landlords get paid late, they’ll stop using the platform.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        | Payments sent on the promised date ÷ Total payments due.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        |
